Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,2,4,146,4,Some Random Commen with Id 0
1,2,4,74,2,Some Random Commen with Id 1
2,2,4,139,8,Some Random Commen with Id 2
3,2,4,63,5,Some Random Commen with Id 3
4,2,4,88,2,Some Random Commen with Id 4
5,2,4,172,5,Some Random Commen with Id 5
6,2,4,116,5,Some Random Commen with Id 6
7,2,4,152,8,Some Random Commen with Id 7
8,2,4,18,2,Some Random Commen with Id 8
9,4,2,103,8,Some Random Commen with Id 9
10,4,2,147,0,Some Random Commen with Id 10
11,4,2,198,5,Some Random Commen with Id 11
12,4,2,41,1,Some Random Commen with Id 12
13,4,2,62,3,Some Random Commen with Id 13
14,4,2,70,3,Some Random Commen with Id 14
15,4,2,120,4,Some Random Commen with Id 15
16,4,2,14,3,Some Random Commen with Id 16
17,4,2,49,6,Some Random Commen with Id 17
18,5,4,160,6,Some Random Commen with Id 18
19,6,7,166,1,Some Random Commen with Id 19
20,6,7,198,6,Some Random Commen with Id 20
21,6,7,165,8,Some Random Commen with Id 21
22,6,7,144,8,Some Random Commen with Id 22
23,6,7,59,1,Some Random Commen with Id 23
24,6,7,20,1,Some Random Commen with Id 24
25,6,7,128,8,Some Random Commen with Id 25
26,8,0,33,6,Some Random Commen with Id 26
27,8,0,170,5,Some Random Commen with Id 27
28,8,0,108,0,Some Random Commen with Id 28
29,8,0,23,4,Some Random Commen with Id 29
30,8,0,195,8,Some Random Commen with Id 30
31,8,0,81,5,Some Random Commen with Id 31
32,9,7,96,9,Some Random Commen with Id 32
33,9,7,105,4,Some Random Commen with Id 33
34,9,7,75,4,Some Random Commen with Id 34
35,9,7,117,7,Some Random Commen with Id 35
36,9,7,108,0,Some Random Commen with Id 36
37,9,7,86,6,Some Random Commen with Id 37
38,9,7,160,8,Some Random Commen with Id 38
39,9,7,69,7,Some Random Commen with Id 39
40,10,6,118,0,Some Random Commen with Id 40
41,10,6,67,2,Some Random Commen with Id 41
42,10,6,161,9,Some Random Commen with Id 42
43,10,6,37,8,Some Random Commen with Id 43
44,10,6,135,8,Some Random Commen with Id 44
45,10,6,26,7,Some Random Commen with Id 45
46,10,6,8,0,Some Random Commen with Id 46
47,10,6,124,2,Some Random Commen with Id 47
48,10,6,81,0,Some Random Commen with Id 48
49,12,8,151,1,Some Random Commen with Id 49
50,12,8,14,9,Some Random Commen with Id 50
51,12,8,67,1,Some Random Commen with Id 51
52,12,8,52,4,Some Random Commen with Id 52
53,12,8,138,1,Some Random Commen with Id 53
54,12,8,194,7,Some Random Commen with Id 54
55,12,8,8,9,Some Random Commen with Id 55
56,13,9,199,3,Some Random Commen with Id 56
57,13,9,179,2,Some Random Commen with Id 57
58,13,9,111,8,Some Random Commen with Id 58
59,13,9,121,6,Some Random Commen with Id 59
60,13,9,180,3,Some Random Commen with Id 60
61,13,9,81,2,Some Random Commen with Id 61
62,13,9,101,5,Some Random Commen with Id 62
63,14,9,137,0,Some Random Commen with Id 63
64,14,9,103,1,Some Random Commen with Id 64
65,15,4,16,0,Some Random Commen with Id 65
66,15,4,71,3,Some Random Commen with Id 66
67,15,4,88,8,Some Random Commen with Id 67
68,15,4,45,1,Some Random Commen with Id 68
69,16,3,89,2,Some Random Commen with Id 69
70,16,3,194,4,Some Random Commen with Id 70
71,17,7,57,4,Some Random Commen with Id 71
72,17,7,102,9,Some Random Commen with Id 72
73,18,6,131,5,Some Random Commen with Id 73
74,18,6,56,8,Some Random Commen with Id 74
